id,name,category,keyword_number,status,start,elapsed_s
s1-t1,KW-001 Open Load Connection,keyword,1,PASS,2026-07-28T18:08:24.179413,2.662711
s1-t2,KW-002 Switch Load Connection,keyword,2,PASS,2026-07-28T18:08:26.842944,1.13187
s1-t3,KW-003 Close Load Connection,keyword,3,PASS,2026-07-28T18:08:27.975530,1.354449
s1-t4,KW-005 Get Load Product Information,keyword,5,PASS,2026-07-28T18:08:29.330534,0.986036
s1-t5,KW-006 Get Load Rated Limits,keyword,6,PASS,2026-07-28T18:08:30.317480,0.893356
s1-t6,KW-007 Claim Remote Control,keyword,7,PASS,2026-07-28T18:08:31.211734,1.06739
s1-t7,KW-008 Release Remote Control,keyword,8,PASS,2026-07-28T18:08:32.279813,1.140824
s1-t8,KW-009 Set Local Key Enabled,keyword,9,PASS,2026-07-28T18:08:33.421433,1.261719
s1-t9,KW-010 Load Input On,keyword,10,PASS,2026-07-28T18:08:34.683639,1.724046
s1-t10,KW-011 Load Input Off,keyword,11,PASS,2026-07-28T18:08:36.408307,1.163649
s1-t11,KW-012 Reset Load To Safe State,keyword,12,PASS,2026-07-28T18:08:37.572346,1.721162
s1-t12,KW-013 Set Remote Sense,keyword,13,PASS,2026-07-28T18:08:39.294325,1.621364
s1-t13,KW-014 Get Remote Sense,keyword,14,PASS,2026-07-28T18:08:40.916354,0.984273
s1-t14,KW-015 Configure Load Protection,keyword,15,PASS,2026-07-28T18:08:41.901412,1.407372
s1-t15,KW-016 Get Load Protection Limits,keyword,16,PASS,2026-07-28T18:08:43.309534,1.141488
s1-t16,KW-017 Set Load Mode,keyword,17,PASS,2026-07-28T18:08:44.451502,1.226883
s1-t17,KW-018 Get Load Mode,keyword,18,PASS,2026-07-28T18:08:45.679163,1.107136
s1-t18,KW-019 Set Load Setpoint,keyword,19,PASS,2026-07-28T18:08:46.786796,1.108336
s1-t19,KW-020 Get Load Setpoint,keyword,20,PASS,2026-07-28T18:08:47.896041,1.142526
s1-t20,KW-021 Apply Constant Current,keyword,21,PASS,2026-07-28T18:08:49.039466,1.596405
s1-t21,KW-022 Apply Constant Voltage,keyword,22,PASS,2026-07-28T18:08:50.636526,1.586223
s1-t22,KW-023 Apply Constant Power,keyword,23,PASS,2026-07-28T18:08:52.223447,1.551629
s1-t23,KW-024 Apply Constant Resistance,keyword,24,PASS,2026-07-28T18:08:53.775717,1.551007
s1-t24,KW-025 Set Load Function,keyword,25,PASS,2026-07-28T18:08:55.327449,1.107385
s1-t25,KW-026 Set Load Function Unchecked,keyword,26,PASS,2026-07-28T18:08:56.435393,1.143514
s1-t26,KW-027 Get Load Function,keyword,27,PASS,2026-07-28T18:08:57.579533,1.470817
s1-t27,KW-028 Configure Load Transient,keyword,28,PASS,2026-07-28T18:08:59.050795,1.065953
s1-t28,KW-029 Get Load Transient,keyword,29,PASS,2026-07-28T18:09:00.117682,1.079749
s1-t29,KW-030 Set Load Trigger Source,keyword,30,PASS,2026-07-28T18:09:01.198062,1.080502
s1-t30,KW-031 Get Load Trigger Source,keyword,31,PASS,2026-07-28T18:09:02.279418,1.0707
s1-t31,KW-032 Trigger Load,keyword,32,PASS,2026-07-28T18:09:03.350971,1.158463
s1-t32,KW-033 Configure Load List,keyword,33,PASS,2026-07-28T18:09:04.510043,1.966347
s1-t33,KW-034 Get Load List Step,keyword,34,PASS,2026-07-28T18:09:06.477261,1.900249
s1-t34,KW-035 Get Load List Step Count,keyword,35,PASS,2026-07-28T18:09:08.378135,1.922653
s1-t35,KW-036 Save Load List File,keyword,36,PASS,2026-07-28T18:09:10.301229,2.544222
s1-t36,KW-037 Recall Load List File,keyword,37,PASS,2026-07-28T18:09:12.845929,3.067718
s1-t37,WF-001 Save Reconfigure And Recall List,workflow,,PASS,2026-07-28T18:09:15.914294,4.101105
s1-t38,KW-038 Set Battery Cutoff Voltage,keyword,38,PASS,2026-07-28T18:09:20.016172,1.052149
s1-t39,KW-039 Get Battery Cutoff Voltage,keyword,39,PASS,2026-07-28T18:09:21.068633,0.963811
s1-t40,KW-040 Set Load On Timer,keyword,40,PASS,2026-07-28T18:09:22.033171,1.391797
s1-t41,KW-041 Get Load On Timer,keyword,41,PASS,2026-07-28T18:09:23.425273,1.05798
s1-t42,KW-042 Save Load Settings,keyword,42,PASS,2026-07-28T18:09:24.483896,1.878574
s1-t43,KW-043 Recall Load Settings,keyword,43,PASS,2026-07-28T18:09:26.363155,2.487331
s1-t44,KW-044 Measure Load Input,keyword,44,PASS,2026-07-28T18:09:28.850872,0.976695
s1-t45,KW-045 Get Load Voltage,keyword,45,PASS,2026-07-28T18:09:29.828252,0.982012
s1-t46,KW-046 Get Load Current,keyword,46,PASS,2026-07-28T18:09:30.810992,0.964905
s1-t47,KW-047 Get Load Power,keyword,47,PASS,2026-07-28T18:09:31.776519,0.996701
s1-t48,KW-048 Wait Until Load Reading Is Stable,keyword,48,PASS,2026-07-28T18:09:32.773698,1.524961
s1-t49,KW-049 Load Voltage Should Be Within,keyword,49,PASS,2026-07-28T18:09:34.299070,1.082159
s1-t50,KW-050 Load Current Should Be Within,keyword,50,PASS,2026-07-28T18:09:35.382090,1.083569
s1-t51,KW-051 Load Power Should Be Within,keyword,51,PASS,2026-07-28T18:09:36.466278,1.08146
s1-t52,KW-052 Load Should Report No Protection Faults,keyword,52,PASS,2026-07-28T18:09:37.548513,0.962279
s1-t53,KW-053 Load Input State Should Be,keyword,53,PASS,2026-07-28T18:09:38.511244,1.165577
s1-t54,KW-054 Load Mode Should Be,keyword,54,PASS,2026-07-28T18:09:39.677686,1.116946
s1-t55,KW-055 Get Load Connection Info,keyword,55,PASS,2026-07-28T18:09:40.794951,0.883048
s1-t56,KW-004 Close All Load Connections,keyword,4,PASS,2026-07-28T18:09:41.678437,2.642877
