Keyword name,Canonical keyword,Driver method,Device-facing,Transport type,Protocol vector,Callability tested,Outbound verified,Raw response verified,Parsed result verified,Protocol error tested,Recovery tested,Result,Evidence,Reason
Connect To N6700,Connect To N6700,connect_to_n6700,True,scpi,N6775A-CONNECT_TO_N6700,Yes,FAIL,N/A,FAIL,N/A,N/A,FAIL,protocol_trace.jsonl,
Connect To Simulated N6700,Connect To Simulated N6700,connect_to_simulated_n6700,True,N/A,,No,N/A,N/A,N/A,N/A,N/A,EXCLUDED,tests/conformance/data/exclusions.yaml,Real N6775A profile; simulator connection is not a physical-module command.
Connect To N6700 Via VISA,Connect To N6700 Via VISA,connect_to_n6700_via_visa,True,N/A,,No,N/A,N/A,N/A,N/A,N/A,EXCLUDED,tests/conformance/data/exclusions.yaml,The self-check uses the canonical Connect To N6700 keyword so audit tracing and one profile work for VISA or Ethernet.
Connect To N6700 Via USB,Connect To N6700 Via USB,connect_to_n6700_via_usb,True,usb_visa_scpi,N6775A-CONNECT_TO_N6700_VIA_USB,Yes,FAIL,N/A,FAIL,N/A,N/A,FAIL,protocol_trace.jsonl,
Connect To N6700 Via Ethernet,Connect To N6700 Via Ethernet,connect_to_n6700_via_ethernet,True,N/A,,No,N/A,N/A,N/A,N/A,N/A,EXCLUDED,tests/conformance/data/exclusions.yaml,The self-check uses the canonical Connect To N6700 keyword so audit tracing and one profile work for VISA or Ethernet.
Select N6700,Select N6700,select_n6700,False,library-local,N6775A-SELECT_N6700,Yes,FAIL,N/A,FAIL,N/A,N/A,FAIL,protocol_trace.jsonl,
Get Current N6700 Alias,Get Current N6700 Alias,get_current_n6700_alias,False,library-local,N6775A-GET_CURRENT_N6700_ALIAS,Yes,FAIL,N/A,FAIL,N/A,N/A,FAIL,protocol_trace.jsonl,
Get Connected N6700 Aliases,Get Connected N6700 Aliases,get_connected_n6700_aliases,False,library-local,N6775A-GET_CONNECTED_N6700_ALIASES,Yes,FAIL,N/A,FAIL,N/A,N/A,FAIL,protocol_trace.jsonl,
Disconnect N6700,Disconnect N6700,disconnect_n6700,True,scpi,N6775A-DISCONNECT_N6700,Yes,FAIL,N/A,FAIL,N/A,N/A,FAIL,protocol_trace.jsonl,
Disconnect All N6700,Disconnect All N6700,disconnect_all_n6700,True,scpi,N6775A-DISCONNECT_ALL_N6700,Yes,FAIL,N/A,FAIL,N/A,N/A,FAIL,protocol_trace.jsonl,
Get N6700 Identity,Get N6700 Identity,get_n6700_identity,True,scpi,N6775A-GET_N6700_IDENTITY,Yes,FAIL,N/A,FAIL,N/A,N/A,FAIL,protocol_trace.jsonl,
