keyword,canonical_keyword,device_facing,protocol_vector,callability_tested,outbound_verified,raw_response_verified,parsed_result_verified,result,duration_s,return_type,outbound_frames,inbound_frames,error
Cancel Current Operation,Cancel Current Operation,False,,YES,N/A,N/A,PASS,PASS,0.000445,,[],[],
Chamber Should Be Running,Chamber Should Be Running,True,VCC-CHAMBER_SHOULD_BE_RUNNING-001,YES,PASS,PASS,PASS,PASS,0.000503,,"[""14003¶1¶1\r""]","[""1¶1\r""]",
Chamber Should Be Stopped,Chamber Should Be Stopped,True,VCC-CHAMBER_SHOULD_BE_STOPPED-001,YES,PASS,PASS,PASS,PASS,0.000258,,"[""14003¶1¶1\r""]","[""1¶0\r""]",
Check Communication,Check Communication,True,VCC-CHECK_COMMUNICATION-001,YES,PASS,PASS,PASS,PASS,0.000372,bool,"[""10012¶1\r""]","[""1¶READY\r""]",
Connect,Connect,True,VCC-CONNECT-001,YES,PASS,PASS,PASS,PASS,0.00076,dict,"[""10012¶1\r"", ""99997¶1¶1\r"", ""99997¶1¶2\r"", ""99997¶1¶3\r""]","[""1¶READY\r"", ""1¶VT4002EMC-SIM\r"", ""1¶2026\r"", ""1¶SIM-2604\r""]",
Connection Should Be Available,Connection Should Be Available,True,VCC-CONNECTION_SHOULD_BE_AVAILABLE-001,YES,PASS,PASS,PASS,PASS,0.000228,,"[""10012¶1\r""]","[""1¶READY\r""]",
Delete Driver Configuration Profile,Delete Driver Configuration Profile,False,,YES,N/A,N/A,PASS,PASS,0.016116,dict,[],[],
Disconnect,Disconnect,True,VCC-DISCONNECT-001,YES,PASS,PASS,PASS,PASS,0.000735,,"[""14001¶1¶7¶0\r"", ""14003¶1¶7\r"", ""14001¶1¶8¶0\r"", ""14003¶1¶8\r"", ""14003¶1¶1\r"", ""14001¶1¶1¶0\r"", ""14003¶1¶1\r""]","[""1\r"", ""1¶0\r"", ""1\r"", ""1¶0\r"", ""1¶1\r"", ""1\r"", ""1¶0\r""]",
Disconnect All,Disconnect All,True,VCC-DISCONNECT_ALL-001,YES,PASS,PASS,PASS,PASS,0.000674,,"[""14001¶1¶7¶0\r"", ""14003¶1¶7\r"", ""14001¶1¶8¶0\r"", ""14003¶1¶8\r"", ""14003¶1¶1\r"", ""14001¶1¶1¶0\r"", ""14003¶1¶1\r""]","[""1\r"", ""1¶0\r"", ""1\r"", ""1¶0\r"", ""1¶1\r"", ""1\r"", ""1¶0\r""]",
Export Diagnostics,Export Diagnostics,False,,YES,N/A,N/A,FAIL,FAIL,0.138227,,[],[],OSError: [Errno 22] Invalid argument: 'C:\\Users\\achestni\\Documents\\GitHub\\RobotFramework\\TestProject\\.drivers\\rf_votsch_climate_chamber\\UsersachestniDocumentsGitHubRobotFrameworkTestProject.drivers\rf_votsch_climate_chamberdiagnostics.json'
Export Driver Configuration,Export Driver Configuration,False,,YES,N/A,N/A,FAIL,FAIL,0.064915,,[],[],"OSError: [WinError 123] The filename, directory name, or volume label syntax is incorrect: 'C:\\Users\\achestni\\Documents\\GitHub\\RobotFramework\\TestProject\\.drivers\\rf_votsch_climate_chamber\\tmpv2fgbqiv' -> 'C:\\Users\\achestni\\Documents\\GitHub\\RobotFramework\\TestProject\\.drivers\\rf_votsch_climate_chamber\\UsersachestniDocumentsGitHubRobotFrameworkTestProject.drivers\rf_votsch_climate_chamberconfiguration.json'"
Get Active Connection,Get Active Connection,False,,YES,N/A,N/A,PASS,PASS,0.000247,str,[],[],
Get Capability Model,Get Capability Model,False,,YES,N/A,N/A,PASS,PASS,0.000192,list,[],[],
Get Chamber Running State,Get Chamber Running State,True,VCC-GET_CHAMBER_RUNNING_STATE-001,YES,PASS,PASS,PASS,PASS,0.000255,bool,"[""14003¶1¶1\r""]","[""1¶0\r""]",
Get Chamber Status,Get Chamber Status,True,VCC-GET_CHAMBER_STATUS-001,YES,PASS,PASS,PASS,PASS,0.00026,str,"[""10012¶1\r""]","[""1¶READY\r""]",
